location,coverage_date,status
Garden Court,2026-06-27,Unconfirmed
Park Lane,2026-06-27,Unconfirmed
Old Town,2026-06-27,Confirmed
North Studio,2026-06-28,Away
Riverside,2026-06-28,Unconfirmed
Market Square,2026-06-28,Away
Garden Court,2026-06-28,Confirmed
Park Lane,2026-06-28,Confirmed
Old Town,2026-06-28,Confirmed
North Studio,2026-06-29,Away
Riverside,2026-06-29,Confirmed
Market Square,2026-06-29,Confirmed
Garden Court,2026-06-29,Confirmed
Park Lane,2026-06-29,Confirmed
Old Town,2026-06-29,Confirmed
North Studio,2026-06-30,Confirmed
Riverside,2026-06-30,Unconfirmed
Market Square,2026-06-30,Confirmed
Garden Court,2026-06-30,Away
Park Lane,2026-06-30,Confirmed
Old Town,2026-06-30,Confirmed
